epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.44,1.25272,2.25841,1.23865,0.94858,0.87244,0.92647,0.5861,1.18566,1.70201,1.09624,0.00330097,0.00330097,0.00330097
2,63.792,1.19234,1.08221,1.10033,0.96099,0.87244,0.9272,0.59687,1.19638,0.8611,1.12149,0.00663102,0.00663102,0.00663102
3,93.286,1.25085,0.90598,1.14616,0.83519,0.79271,0.85185,0.51538,1.31899,1.39324,1.30298,0.00995777,0.00995777,0.00995777
4,121.734,1.27021,0.83012,1.16702,0.90449,0.82551,0.87816,0.544,1.3111,1.1499,1.32226,0.00998515,0.00998515,0.00998515
5,150.635,1.25398,0.77559,1.16875,0.72119,0.65649,0.68036,0.39008,1.64894,1.80797,1.47549,0.0099802,0.0099802,0.0099802
6,179.893,1.22958,0.71678,1.1596,0.80435,0.76981,0.82922,0.50592,1.39046,1.13794,1.27362,0.00997525,0.00997525,0.00997525
7,211.369,1.2162,0.68806,1.14985,0.86049,0.87472,0.895,0.57921,1.24442,0.77647,1.19625,0.0099703,0.0099703,0.0099703
8,243.67,1.2024,0.67264,1.14746,0.9646,0.89367,0.93481,0.60077,1.24401,0.65955,1.18543,0.00996535,0.00996535,0.00996535
9,274.068,1.18441,0.64795,1.138,0.95217,0.90114,0.93791,0.62291,1.20862,0.66166,1.16764,0.0099604,0.0099604,0.0099604
10,303.328,1.18936,0.65187,1.13193,0.93921,0.89795,0.92579,0.57274,1.29188,0.71268,1.22222,0.00995545,0.00995545,0.00995545
11,332.326,1.1768,0.63158,1.12465,0.9618,0.89157,0.93176,0.60741,1.216,0.61652,1.16975,0.0099505,0.0099505,0.0099505
12,361.414,1.17367,0.62776,1.126,0.94638,0.90859,0.93185,0.62368,1.18781,0.58603,1.16059,0.00994555,0.00994555,0.00994555
13,390.63,1.16423,0.6116,1.1175,0.94769,0.89141,0.93439,0.62749,1.15423,0.61746,1.1275,0.0099406,0.0099406,0.0099406
14,419.46,1.15939,0.61093,1.1155,0.96418,0.89613,0.94603,0.64603,1.16133,0.56547,1.1195,0.00993565,0.00993565,0.00993565
15,448.508,1.14966,0.59772,1.10852,0.96958,0.89886,0.94389,0.62517,1.17785,0.59531,1.14211,0.0099307,0.0099307,0.0099307
16,477.632,1.14214,0.59438,1.10733,0.96019,0.90843,0.9502,0.64291,1.15523,0.57456,1.12475,0.00992575,0.00992575,0.00992575
17,506.722,1.14734,0.58367,1.10801,0.97016,0.88884,0.92032,0.53732,1.37288,0.67605,1.29984,0.0099208,0.0099208,0.0099208
18,535.465,1.13807,0.5805,1.10265,0.9706,0.91344,0.94774,0.64511,1.14416,0.5423,1.10637,0.00991585,0.00991585,0.00991585
19,564.725,1.14177,0.57969,1.1031,0.96316,0.90979,0.94604,0.63012,1.19229,0.55454,1.13194,0.0099109,0.0099109,0.0099109
20,593.65,1.13516,0.57266,1.0976,0.9752,0.91162,0.95616,0.65985,1.13273,0.52128,1.10128,0.00990595,0.00990595,0.00990595
21,622.688,1.12858,0.56523,1.09822,0.9662,0.91172,0.95235,0.64469,1.15803,0.54429,1.12345,0.009901,0.009901,0.009901
22,651.644,1.12355,0.56294,1.09505,0.97806,0.90205,0.94865,0.64437,1.17799,0.53912,1.12936,0.00989605,0.00989605,0.00989605
23,680.627,1.12659,0.56521,1.09237,0.97067,0.91973,0.95368,0.64127,1.15559,0.53453,1.12046,0.0098911,0.0098911,0.0098911
24,709.383,1.11855,0.55521,1.09367,0.97088,0.91145,0.94899,0.6532,1.13712,0.51645,1.10399,0.00988615,0.00988615,0.00988615
25,738.497,1.1207,0.55634,1.09071,0.95529,0.92027,0.94698,0.66099,1.10168,0.52117,1.09153,0.0098812,0.0098812,0.0098812
26,767.256,1.10475,0.54711,1.0835,0.97312,0.91435,0.95362,0.65229,1.1438,0.53888,1.12885,0.00987625,0.00987625,0.00987625
27,796.206,1.11887,0.55016,1.08705,0.97672,0.91936,0.95789,0.66177,1.12461,0.5002,1.09899,0.0098713,0.0098713,0.0098713
28,825.112,1.10587,0.54786,1.08571,0.98476,0.91249,0.95756,0.66162,1.13177,0.51177,1.10673,0.00986635,0.00986635,0.00986635
29,853.883,1.10487,0.5371,1.07977,0.98007,0.91875,0.9614,0.6786,1.11603,0.49268,1.08496,0.0098614,0.0098614,0.0098614
