epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.605,1.23047,1.69737,1.15571,0.7897,0.80314,0.84618,0.47658,1.33566,1.09974,1.19148,0.00333082,0.00333082,0.00333082
2,259.859,1.25106,0.86234,1.18946,0.88988,0.82083,0.87582,0.4484,1.55103,0.99402,1.38165,0.00659817,0.00659817,0.00659817
3,378.891,1.30977,0.86162,1.27838,0.85563,0.76165,0.8089,0.35768,1.75934,1.2039,1.62254,0.00979953,0.00979953,0.00979953
4,496.237,1.36981,0.91927,1.3593,0.90371,0.79235,0.82557,0.37707,1.72685,1.08272,1.5082,0.009703,0.009703,0.009703
5,613.027,1.33494,0.85661,1.35162,0.91976,0.80206,0.86086,0.41799,1.69897,0.97025,1.49572,0.009604,0.009604,0.009604
6,730.108,1.31854,0.82546,1.35805,0.94453,0.81848,0.88863,0.44034,1.65523,0.91522,1.50254,0.009505,0.009505,0.009505
7,846.733,1.30137,0.8023,1.35122,0.92331,0.85929,0.90985,0.46234,1.63769,0.83619,1.50252,0.009406,0.009406,0.009406
8,963.631,1.29285,0.77879,1.36393,0.9464,0.85308,0.90866,0.50469,1.50875,0.78227,1.41634,0.009307,0.009307,0.009307
9,1080.74,1.28702,0.75051,1.36832,0.94983,0.82582,0.89659,0.50769,1.54726,0.85479,1.48031,0.009208,0.009208,0.009208
10,1198.12,1.27548,0.71682,1.36957,0.93505,0.83732,0.89319,0.49423,1.5199,0.83111,1.46498,0.009109,0.009109,0.009109
11,1314.74,1.26292,0.71975,1.35176,0.95289,0.85384,0.9069,0.51943,1.45466,0.77238,1.39866,0.00901,0.00901,0.00901
12,1431.63,1.25807,0.69253,1.35343,0.9584,0.85507,0.92114,0.54994,1.43878,0.74705,1.384,0.008911,0.008911,0.008911
13,1548.63,1.24709,0.67166,1.34983,0.94893,0.87148,0.92983,0.56001,1.45354,0.70567,1.38822,0.008812,0.008812,0.008812
14,1666.6,1.24518,0.66772,1.35113,0.95305,0.85693,0.92446,0.54601,1.46048,0.72079,1.3889,0.008713,0.008713,0.008713
15,1784.29,1.24717,0.65409,1.34884,0.9486,0.87438,0.92613,0.56277,1.38931,0.7226,1.358,0.008614,0.008614,0.008614
16,1901.58,1.23827,0.66884,1.34686,0.9581,0.86872,0.92646,0.56032,1.40816,0.72285,1.3696,0.008515,0.008515,0.008515
17,2018.62,1.23157,0.64533,1.3393,0.95152,0.87465,0.93443,0.57073,1.40252,0.67473,1.34175,0.008416,0.008416,0.008416
18,2136.82,1.23119,0.64363,1.3394,0.96061,0.86932,0.92704,0.54322,1.44975,0.72965,1.37794,0.008317,0.008317,0.008317
19,2246.21,1.22798,0.63148,1.33448,0.96293,0.87008,0.94498,0.57822,1.38477,0.62819,1.3465,0.008218,0.008218,0.008218
20,2356.65,1.21728,0.62188,1.33498,0.95352,0.88884,0.94595,0.58364,1.37302,0.63027,1.33303,0.008119,0.008119,0.008119
21,2464.15,1.20897,0.6087,1.32163,0.95256,0.89962,0.95044,0.60367,1.35607,0.61176,1.30635,0.00802,0.00802,0.00802
22,2572.76,1.20692,0.61265,1.31906,0.96977,0.87852,0.95496,0.59435,1.38197,0.60725,1.32029,0.007921,0.007921,0.007921
23,2682.11,1.21127,0.60578,1.32536,0.96721,0.88602,0.95477,0.60638,1.35736,0.61295,1.31531,0.007822,0.007822,0.007822
24,2794.11,1.20797,0.61458,1.32339,0.96866,0.88649,0.95437,0.61253,1.32152,0.60759,1.31027,0.007723,0.007723,0.007723
25,2906.1,1.20829,0.6138,1.32941,0.95605,0.91698,0.96049,0.61962,1.32454,0.57134,1.28662,0.007624,0.007624,0.007624
26,3021.06,1.2002,0.59862,1.31655,0.9502,0.93081,0.96394,0.62689,1.3091,0.54306,1.28121,0.007525,0.007525,0.007525
27,3135.63,1.19521,0.58382,1.31318,0.96267,0.9273,0.96451,0.6266,1.30175,0.53626,1.27644,0.007426,0.007426,0.007426
28,3253.72,1.18911,0.57072,1.30694,0.97746,0.92167,0.96832,0.62329,1.31742,0.52164,1.27791,0.007327,0.007327,0.007327
29,3372.4,1.18482,0.57648,1.30078,0.96807,0.92964,0.96543,0.6217,1.33405,0.51714,1.29175,0.007228,0.007228,0.007228
30,3482.73,1.17892,0.56678,1.29717,0.97036,0.92118,0.96716,0.62829,1.31584,0.51761,1.27919,0.007129,0.007129,0.007129
31,3593.64,1.17539,0.56649,1.29552,0.97186,0.92323,0.96933,0.62582,1.3086,0.51647,1.27619,0.00703,0.00703,0.00703
32,3708.23,1.17417,0.55444,1.29348,0.96165,0.9334,0.96804,0.6284,1.3093,0.51026,1.27371,0.006931,0.006931,0.006931
33,3820.23,1.17855,0.55789,1.29335,0.96997,0.92589,0.96723,0.62628,1.32,0.51418,1.28163,0.006832,0.006832,0.006832
34,3931.31,1.17078,0.55272,1.28956,0.97576,0.92964,0.96942,0.63137,1.30319,0.5082,1.26952,0.006733,0.006733,0.006733
35,4042.16,1.16127,0.54844,1.28132,0.97397,0.93022,0.96915,0.63444,1.29477,0.50248,1.26275,0.006634,0.006634,0.006634
36,4156.99,1.16826,0.54808,1.29149,0.97014,0.93621,0.96926,0.63352,1.29867,0.49728,1.2657,0.006535,0.006535,0.006535
37,4302.9,1.16633,0.54134,1.28817,0.96614,0.93685,0.96923,0.63403,1.30059,0.49269,1.26585,0.006436,0.006436,0.006436
38,4464.7,1.16636,0.5381,1.28193,0.96776,0.93668,0.96989,0.6351,1.29711,0.49048,1.26472,0.006337,0.006337,0.006337
39,4605.02,1.15819,0.53085,1.27823,0.972,0.93527,0.97112,0.63727,1.29458,0.48828,1.26338,0.006238,0.006238,0.006238
40,4717.23,1.15569,0.53379,1.2767,0.97273,0.93691,0.97036,0.63474,1.29695,0.48616,1.26466,0.006139,0.006139,0.006139
41,4830.73,1.15355,0.52166,1.27696,0.96979,0.93856,0.96893,0.63601,1.29291,0.48374,1.26094,0.00604,0.00604,0.00604
42,4942.47,1.14784,0.51981,1.2701,0.97268,0.9351,0.96893,0.63631,1.29206,0.48409,1.26129,0.005941,0.005941,0.005941
43,5057.05,1.14611,0.51737,1.26733,0.97088,0.93838,0.96924,0.63666,1.29178,0.48359,1.26103,0.005842,0.005842,0.005842
44,5169.94,1.14637,0.5209,1.26832,0.97211,0.93574,0.9691,0.63722,1.29018,0.48305,1.25912,0.005743,0.005743,0.005743
45,5281.16,1.14395,0.51511,1.26713,0.97086,0.93747,0.9697,0.63841,1.29036,0.48114,1.25886,0.005644,0.005644,0.005644
46,5391.71,1.13518,0.50684,1.25846,0.97069,0.93668,0.96907,0.63911,1.28759,0.48003,1.25677,0.005545,0.005545,0.005545
47,5500.95,1.13852,0.50976,1.2603,0.97036,0.93668,0.97001,0.63983,1.28716,0.47932,1.25676,0.005446,0.005446,0.005446
48,5613.74,1.1256,0.50417,1.25071,0.97179,0.93699,0.97032,0.64096,1.28661,0.47781,1.25592,0.005347,0.005347,0.005347
49,5733.89,1.12933,0.49878,1.25397,0.97183,0.93841,0.97066,0.64241,1.28502,0.47655,1.25558,0.005248,0.005248,0.005248
50,5854.52,1.12269,0.49579,1.25123,0.97122,0.93809,0.96942,0.6435,1.28338,0.4756,1.25504,0.005149,0.005149,0.005149
51,5972.31,1.1234,0.4942,1.24782,0.97082,0.93715,0.96971,0.64473,1.28262,0.47511,1.25442,0.00505,0.00505,0.00505
52,6092.92,1.11835,0.49175,1.24544,0.97121,0.93621,0.97012,0.6444,1.28266,0.47404,1.25448,0.004951,0.004951,0.004951
53,6216.58,1.11335,0.48768,1.24028,0.97036,0.93677,0.96998,0.64534,1.28081,0.47413,1.25339,0.004852,0.004852,0.004852
54,6342.59,1.11646,0.48428,1.2398,0.96992,0.93782,0.97064,0.64554,1.27975,0.47306,1.25285,0.004753,0.004753,0.004753
55,6466.25,1.10183,0.48074,1.23306,0.97038,0.93748,0.97079,0.64538,1.27906,0.47185,1.25256,0.004654,0.004654,0.004654
56,6587.73,1.10831,0.47795,1.23543,0.97269,0.93539,0.97093,0.64576,1.27908,0.47168,1.25243,0.004555,0.004555,0.004555
57,6705.79,1.10499,0.47902,1.23104,0.96479,0.94137,0.9712,0.64663,1.27799,0.47163,1.25179,0.004456,0.004456,0.004456
