epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.60955,1.73564,3.64401,1.5277,0.00313,0.36754,0.00451,0.0023,1.7911,3.49617,1.71344,3.334e-05,3.334e-05,3.334e-05
2,6.15455,1.63124,3.62757,1.43953,0.00318,0.35984,0.00509,0.00263,1.75672,3.47973,1.68424,8.33087e-05,8.33087e-05,8.33087e-05
3,7.66855,1.59151,3.50579,1.43556,0.00598,0.60787,0.08825,0.04398,1.24109,3.22864,1.23549,0.000133228,0.000133228,0.000133228
4,9.26655,1.24846,3.18478,1.22796,0.00643,0.68426,0.20802,0.10027,1.21618,3.1224,1.16926,0.000183098,0.000183098,0.000183098
5,10.8636,1.27742,2.90308,1.1935,0.00679,0.75656,0.2385,0.11527,1.29128,3.08385,1.18997,0.000232918,0.000232918,0.000232918
6,12.5186,1.23912,2.54724,1.15303,0.00687,0.76475,0.26287,0.14069,1.28078,3.03591,1.23051,0.000282689,0.000282689,0.000282689
7,14.1105,1.2363,2.28018,1.15669,0.00675,0.74066,0.24924,0.13106,1.33177,3.02227,1.24356,0.00033241,0.00033241,0.00033241
8,15.6785,1.25817,2.1758,1.17385,0.00633,0.70426,0.22664,0.12295,1.4075,2.99976,1.26605,0.000382081,0.000382081,0.000382081
9,17.2596,1.22891,2.04801,1.15822,0.00679,0.76475,0.25929,0.11206,1.43321,2.98897,1.24439,0.000431704,0.000431704,0.000431704
10,18.8246,1.22839,2.0173,1.18518,0.00665,0.69246,0.2552,0.12793,1.27698,2.91683,1.21092,0.000481276,0.000481276,0.000481276
11,20.4006,1.17946,1.88133,1.13921,0.3448,0.16393,0.22886,0.13526,1.3107,2.89395,1.26147,0.000530799,0.000530799,0.000530799
12,21.9605,1.22607,1.85453,1.13612,0.89254,0.07489,0.22402,0.11299,1.39817,2.87445,1.31178,0.000580273,0.000580273,0.000580273
13,23.5335,1.1875,1.69974,1.10618,0.87809,0.13983,0.32925,0.14313,1.37692,2.7342,1.28789,0.000629697,0.000629697,0.000629697
14,25.1585,1.20471,1.67956,1.11711,0.31862,0.144,0.23943,0.11933,1.40148,2.6797,1.26122,0.000679072,0.000679072,0.000679072
15,26.7095,1.16551,1.63763,1.08077,0.82176,0.14058,0.20246,0.09813,1.47454,2.6875,1.37377,0.000728397,0.000728397,0.000728397
16,28.2815,1.20808,1.60554,1.12824,0.81165,0.17631,0.23907,0.1179,1.48004,2.62893,1.31543,0.000777673,0.000777673,0.000777673
17,29.8386,1.17267,1.5871,1.12696,0.8073,0.15687,0.22049,0.10323,1.52563,2.70587,1.41103,0.000826899,0.000826899,0.000826899
18,31.4155,1.22275,1.5674,1.14285,0.48291,0.26615,0.26372,0.13343,1.39605,2.79444,1.29857,0.000876075,0.000876075,0.000876075
19,32.9825,1.1777,1.49474,1.10942,0.41877,0.17328,0.17382,0.08766,1.53418,2.83782,1.42466,0.000925202,0.000925202,0.000925202
20,34.5375,1.19257,1.54845,1.11552,0.57484,0.05689,0.15309,0.06707,1.65053,3.08007,1.57134,0.00097428,0.00097428,0.00097428
21,36.1186,1.22105,1.57319,1.13289,0.60816,0.07445,0.18197,0.07286,1.62971,2.87409,1.59562,0.00102331,0.00102331,0.00102331
22,37.7026,1.2049,1.49333,1.10712,0.30071,0.14623,0.11347,0.06018,1.51582,2.94573,1.57445,0.00107229,0.00107229,0.00107229
23,39.2565,1.19984,1.48806,1.12242,0.3775,0.12557,0.13347,0.07132,1.58417,3.06764,1.60498,0.00112122,0.00112122,0.00112122
24,40.8085,1.1815,1.46984,1.12902,0.23261,0.14246,0.13587,0.06799,1.57083,3.00887,1.63947,0.0011701,0.0011701,0.0011701
25,42.3716,1.13045,1.38428,1.10276,0.2862,0.12656,0.13325,0.06793,1.63076,2.99841,1.68084,0.00121893,0.00121893,0.00121893
26,43.9565,1.16233,1.41778,1.11742,0.293,0.17882,0.1528,0.07566,1.65439,2.98993,1.63047,0.00126771,0.00126771,0.00126771
27,45.4825,1.22616,1.41487,1.13489,0.42147,0.13198,0.19557,0.098,1.65362,2.91865,1.71167,0.00131644,0.00131644,0.00131644
28,47.0245,1.24061,1.51312,1.15103,0.25123,0.13115,0.14009,0.06373,1.80297,2.80994,1.90833,0.00136512,0.00136512,0.00136512
29,48.5916,1.22363,1.44566,1.14849,0.27355,0.19525,0.18214,0.08639,1.77541,2.68474,1.83695,0.00141375,0.00141375,0.00141375
30,50.1736,1.22314,1.46413,1.13897,0.40895,0.23821,0.21548,0.11344,1.66117,2.68096,1.7093,0.00146233,0.00146233,0.00146233
31,51.6946,1.18282,1.40621,1.11468,0.32015,0.17202,0.18054,0.09354,1.66702,2.53396,1.68669,0.00151087,0.00151087,0.00151087
32,53.2185,1.24164,1.38124,1.14613,0.12822,0.17475,0.04003,0.02177,2.08267,3.49016,2.29672,0.00155935,0.00155935,0.00155935
33,54.7726,1.27047,1.51367,1.2039,0.20309,0.21115,0.10286,0.05188,2.2368,3.66115,2.67117,0.00160778,0.00160778,0.00160778
34,56.3075,1.23953,1.42077,1.16552,0.4338,0.12656,0.07586,0.04277,2.20648,3.84553,2.64574,0.00163977,0.00163977,0.00163977
35,57.8966,1.20572,1.33588,1.13513,0.16395,0.25885,0.10814,0.04985,1.8414,3.65,1.93774,0.00163894,0.00163894,0.00163894
36,59.4255,1.23053,1.31023,1.12558,0.08722,0.16557,0.0362,0.01189,2.2171,4.48183,2.62475,0.00163812,0.00163812,0.00163812
37,60.9055,1.1677,1.33068,1.11964,0.48909,0.19164,0.07322,0.0252,2.19757,3.81545,2.90945,0.00163729,0.00163729,0.00163729
38,62.3705,1.19073,1.32805,1.1175,0.24327,0.15836,0.09143,0.04701,1.99326,3.11419,2.22564,0.00163647,0.00163647,0.00163647
39,63.8555,1.19701,1.30463,1.13215,0.30588,0.19115,0.12266,0.07464,1.9496,2.90044,2.23954,0.00163564,0.00163564,0.00163564
40,65.3275,1.18578,1.24196,1.0977,0.15431,0.12295,0.08863,0.03612,2.14803,3.16602,2.47058,0.00163482,0.00163482,0.00163482
41,66.8085,1.20482,1.25413,1.14447,0.08831,0.11066,0.06609,0.02621,2.31199,3.50572,2.78746,0.00163399,0.00163399,0.00163399
42,68.3315,1.23098,1.29871,1.13984,0.65617,0.09426,0.0759,0.03384,2.17029,3.39545,2.51167,0.00163317,0.00163317,0.00163317
43,69.7975,1.16553,1.25969,1.12218,0.35621,0.14656,0.1094,0.04992,2.13337,3.28251,2.49315,0.00163234,0.00163234,0.00163234
44,71.2995,1.16194,1.22945,1.1139,0.38245,0.21574,0.21668,0.12006,1.77187,2.61375,1.78046,0.00163152,0.00163152,0.00163152
45,72.7725,1.12726,1.18349,1.10848,0.23844,0.14344,0.13596,0.06243,1.9667,2.75825,2.01458,0.00163069,0.00163069,0.00163069
46,74.2796,1.15151,1.20884,1.12079,0.31846,0.25623,0.19788,0.09628,1.80925,2.45791,1.80674,0.00162987,0.00162987,0.00162987
47,75.7945,1.22047,1.17009,1.16944,0.21258,0.21885,0.1297,0.06172,1.82024,3.07809,1.99549,0.00162904,0.00162904,0.00162904
48,77.3035,1.15263,1.12677,1.09349,0.28692,0.15016,0.11907,0.05452,2.17149,2.99635,2.2455,0.00162822,0.00162822,0.00162822
49,78.7905,1.16597,1.1647,1.11875,0.29779,0.2679,0.15923,0.07172,1.91404,2.70189,2.02894,0.00162739,0.00162739,0.00162739
50,80.3205,1.20116,1.10578,1.11334,0.32193,0.26436,0.18784,0.08168,1.99383,2.70158,2.27197,0.00162657,0.00162657,0.00162657
51,81.7895,1.16811,1.08065,1.10949,0.38791,0.24082,0.23772,0.1231,1.81079,2.6013,1.96582,0.00162574,0.00162574,0.00162574
52,83.3075,1.18297,1.08776,1.11277,0.22345,0.31349,0.2005,0.08663,1.92309,2.68059,2.07619,0.00162492,0.00162492,0.00162492
53,84.7975,1.14083,1.10038,1.1227,0.23733,0.32639,0.22422,0.11109,1.73986,2.24403,1.89986,0.00162409,0.00162409,0.00162409
54,86.2815,1.13775,1.0966,1.11395,0.25977,0.2941,0.22612,0.10762,1.73969,2.60429,1.84714,0.00162327,0.00162327,0.00162327
55,87.7725,1.16025,1.07535,1.10609,0.66007,0.22541,0.16697,0.08009,1.86209,2.9928,2.09304,0.00162244,0.00162244,0.00162244
56,89.2355,1.09045,1.05944,1.07835,0.31791,0.28443,0.19644,0.09628,1.78042,2.70392,1.94201,0.00162162,0.00162162,0.00162162
57,90.6615,1.0877,1.04002,1.09146,0.26155,0.30393,0.22111,0.10561,1.85376,3.02318,1.93286,0.00162079,0.00162079,0.00162079
58,92.1475,1.08191,1.03965,1.08442,0.35618,0.22033,0.21687,0.09965,1.8626,2.70633,1.91536,0.00161997,0.00161997,0.00161997
59,93.6375,1.11687,1.00818,1.09876,0.27834,0.31574,0.19566,0.09716,1.84614,3.22841,1.91627,0.00161914,0.00161914,0.00161914
60,95.1055,1.10215,0.98782,1.07625,0.39756,0.34393,0.32353,0.16545,1.78046,4.27335,1.83395,0.00161832,0.00161832,0.00161832
61,96.5586,1.05597,0.97613,1.05553,0.40881,0.35213,0.32183,0.16866,1.66405,3.54132,1.76623,0.00161749,0.00161749,0.00161749
62,98.0596,1.06996,0.94557,1.05965,0.38344,0.29808,0.28245,0.15027,1.7156,2.87728,1.85033,0.00161666,0.00161666,0.00161666
63,99.5325,1.11631,1.04215,1.09565,0.43964,0.41695,0.33137,0.17261,1.73642,2.24529,1.76044,0.00161584,0.00161584,0.00161584
64,101.035,1.09824,1.01705,1.10647,0.36786,0.47049,0.30703,0.15876,1.54954,2.30004,1.57942,0.00161501,0.00161501,0.00161501
